id,organization,country,signed_year,sector
1,HealthPlus,UK,2021,Energy
2,DataVision,Canada,2018,Cybersecurity
3,AeroTech,South Korea,2022,Cybersecurity
4,National Science Institute,France,2010,Healthcare
5,EduSmart,Singapore,2025,Biotechnology
6,Quantum Analytics,South Korea,2015,Education
7,AgroFuture,Spain,2021,Environment
8,AeroTech,Australia,2018,Healthcare
9,DataVision,Germany,2019,Transport
10,TechNova,Russia,2011,Energy
11,Global Research Center,Thailand,2016,Space Research
12,AgroFuture,India,2017,Education
13,National Science Institute,Canada,2018,Cybersecurity
14,National Science Institute,Italy,2010,Healthcare
15,AgroFuture,USA,2025,Healthcare
16,Oceanic Research,Japan,2015,Agriculture
17,Quantum Analytics,USA,2017,Technology
18,Future Systems,Malaysia,2019,Environment
19,DataVision,China,2023,Energy
20,Oceanic Research,Russia,2021,Transport
21,HealthPlus,China,2016,Cybersecurity
22,HealthPlus,Brazil,2022,Infrastructure
23,Quantum Analytics,France,2010,Technology
24,InnoSoft,Singapore,2019,Agriculture
25,Future Systems,France,2025,Transport
26,BioGen Labs,UAE,2018,Environment
27,National Science Institute,UAE,2018,Technology
28,Future Systems,Brazil,2016,AI & ML
29,Global Research Center,Netherlands,2017,Education
30,Oceanic Research,UK,2022,Education
31,National Science Institute,UAE,2014,Environment
32,DataVision,USA,2025,Cybersecurity
33,Future Systems,China,2023,AI & ML
34,Green Energy Corp,Russia,2011,Transport
35,Quantum Analytics,Thailand,2016,Transport
36,AeroTech,India,2025,Cybersecurity
37,Oceanic Research,Singapore,2019,Healthcare
38,AgroFuture,Australia,2015,Education
39,Future Systems,France,2025,Infrastructure
40,Global Research Center,China,2015,Environment
41,National Science Institute,UAE,2012,Energy
42,EduSmart,Singapore,2017,Environment
43,DataVision,Brazil,2023,Cybersecurity
44,Skyline Tech,UAE,2021,Infrastructure
45,Future Systems,Thailand,2019,Agriculture
46,HealthPlus,France,2025,Environment
47,TechNova,Thailand,2012,Healthcare
48,HealthPlus,Canada,2013,Healthcare
49,AgroFuture,Russia,2019,Education
50,Green Energy Corp,UK,2014,Biotechnology
51,Global Research Center,Canada,2020,Transport
52,Green Energy Corp,Thailand,2024,Education
53,Global Research Center,UAE,2015,Energy
54,Skyline Tech,Germany,2025,Energy
55,AeroTech,Australia,2020,Environment
56,National Science Institute,UK,2010,Energy
57,HealthPlus,China,2016,Infrastructure
58,Skyline Tech,Australia,2015,Energy
59,HealthPlus,Germany,2014,Infrastructure
60,Quantum Analytics,Italy,2023,Biotechnology
61,Green Energy Corp,Italy,2025,Education
62,Green Energy Corp,USA,2011,Technology
63,InnoSoft,Canada,2021,Biotechnology
64,TechNova,UAE,2016,Technology
65,TechNova,USA,2017,Education
66,EduSmart,Singapore,2019,Energy
67,Global Research Center,France,2022,Healthcare
68,InnoSoft,Thailand,2019,Infrastructure
69,Global Research Center,Germany,2011,Biotechnology
70,Future Systems,Brazil,2024,AI & ML
71,DataVision,Netherlands,2020,Transport
72,Green Energy Corp,Japan,2020,Space Research
73,Oceanic Research,Spain,2021,Transport
74,Skyline Tech,Canada,2015,Energy
75,Oceanic Research,Russia,2010,Healthcare
76,EduSmart,India,2014,Infrastructure
77,EduSmart,USA,2015,Education
78,BioGen Labs,Singapore,2011,Agriculture
79,Green Energy Corp,China,2011,Transport
80,Quantum Analytics,UK,2013,Environment
81,National Science Institute,USA,2011,Infrastructure
82,DataVision,France,2023,Cybersecurity
83,HealthPlus,Russia,2013,Infrastructure
84,InnoSoft,China,2025,AI & ML
85,DataVision,Japan,2016,Biotechnology
86,DataVision,USA,2019,Biotechnology
87,Green Energy Corp,France,2018,Cybersecurity
88,Quantum Analytics,Malaysia,2014,AI & ML
89,Green Energy Corp,France,2013,Healthcare
90,Future Systems,France,2013,Cybersecurity
91,HealthPlus,Canada,2016,Transport
92,Skyline Tech,China,2016,Energy
93,AeroTech,Italy,2019,Environment
94,Global Research Center,UK,2025,Transport
95,Oceanic Research,Canada,2025,Agriculture
96,AeroTech,India,2010,Agriculture
97,TechNova,Germany,2013,Infrastructure
98,AgroFuture,Thailand,2025,Space Research
99,Global Research Center,Germany,2012,Space Research
100,DataVision,France,2018,Biotechnology
101,National Science Institute,India,2024,Education
102,Future Systems,China,2024,Education
103,TechNova,France,2015,Education
104,AgroFuture,UK,2019,Education
105,AeroTech,UAE,2023,Energy
106,DataVision,France,2013,Agriculture
107,AgroFuture,UK,2010,Technology
108,AgroFuture,Japan,2015,Environment
109,AeroTech,Singapore,2024,Education
110,Quantum Analytics,China,2012,Cybersecurity
111,AeroTech,UAE,2015,Infrastructure
112,BioGen Labs,Russia,2022,Cybersecurity
113,HealthPlus,China,2022,Environment
114,DataVision,Spain,2023,Agriculture
115,National Science Institute,Australia,2013,Environment
116,Global Research Center,UK,2015,Healthcare
117,BioGen Labs,Italy,2025,Environment
118,Skyline Tech,Thailand,2024,Transport
119,Global Research Center,Malaysia,2022,Technology
120,Skyline Tech,Singapore,2010,Education
121,AgroFuture,Japan,2025,Technology
122,Oceanic Research,Spain,2013,Technology
123,Oceanic Research,Italy,2024,Healthcare
124,TechNova,Germany,2018,Infrastructure
125,National Science Institute,UAE,2010,Space Research
126,DataVision,Netherlands,2017,AI & ML
127,National Science Institute,UAE,2013,Infrastructure
128,Green Energy Corp,India,2025,Space Research
129,AeroTech,Russia,2014,Transport
130,AgroFuture,South Africa,2011,Biotechnology
131,TechNova,Australia,2025,Environment
132,AgroFuture,Spain,2015,Environment
133,BioGen Labs,Spain,2020,Space Research
134,EduSmart,UAE,2018,AI & ML
135,TechNova,Netherlands,2017,Education
136,InnoSoft,Russia,2022,Cybersecurity
137,AgroFuture,India,2012,Energy
138,HealthPlus,South Korea,2024,Education
139,BioGen Labs,Spain,2024,Cybersecurity
140,AeroTech,France,2025,Energy
141,DataVision,USA,2013,Biotechnology
142,Green Energy Corp,Italy,2011,Infrastructure
143,InnoSoft,South Africa,2010,AI & ML
144,AgroFuture,Germany,2019,Healthcare
145,Oceanic Research,Netherlands,2016,Agriculture
146,National Science Institute,South Korea,2020,Energy
147,AeroTech,UK,2017,Environment
148,AgroFuture,South Korea,2020,Transport
149,InnoSoft,Malaysia,2025,Biotechnology
150,DataVision,Singapore,2024,Agriculture
151,BioGen Labs,France,2017,Education
152,TechNova,UAE,2021,AI & ML
153,AgroFuture,Brazil,2021,Space Research
154,DataVision,France,2011,Technology
155,Oceanic Research,Australia,2025,Agriculture
156,Global Research Center,Italy,2013,Agriculture
157,Future Systems,Malaysia,2016,Space Research
158,EduSmart,France,2022,Healthcare
159,EduSmart,South Korea,2016,Cybersecurity
160,DataVision,UAE,2013,Cybersecurity
161,Skyline Tech,Italy,2011,Environment
162,Oceanic Research,Thailand,2013,Agriculture
163,Skyline Tech,South Korea,2024,Transport
164,National Science Institute,Thailand,2014,Biotechnology
165,HealthPlus,USA,2011,Cybersecurity
166,InnoSoft,Italy,2025,Space Research
167,Oceanic Research,Netherlands,2015,Technology
168,DataVision,Thailand,2015,Infrastructure
169,DataVision,Japan,2013,Technology
170,Green Energy Corp,Malaysia,2020,AI & ML
171,InnoSoft,Russia,2023,Agriculture
172,Quantum Analytics,India,2018,Space Research
173,Green Energy Corp,UAE,2019,Education
174,HealthPlus,Japan,2014,Infrastructure
175,Green Energy Corp,Malaysia,2019,Transport
176,AgroFuture,South Africa,2020,Biotechnology
177,DataVision,South Africa,2016,Technology
178,EduSmart,Canada,2019,Environment
179,National Science Institute,Singapore,2014,Education
180,DataVision,Australia,2020,Energy
181,DataVision,France,2021,Transport
182,InnoSoft,Spain,2023,Space Research
183,National Science Institute,South Africa,2019,Education
184,Oceanic Research,Italy,2010,Environment
185,InnoSoft,France,2010,Infrastructure
186,Green Energy Corp,Japan,2011,Space Research
187,National Science Institute,UK,2016,Agriculture
188,Future Systems,Australia,2019,Technology
189,National Science Institute,China,2014,Technology
190,AgroFuture,UK,2019,AI & ML
191,EduSmart,South Africa,2011,Environment
192,AeroTech,South Korea,2013,Education
193,Quantum Analytics,South Africa,2017,Biotechnology
194,DataVision,South Africa,2022,Agriculture
195,EduSmart,Netherlands,2019,Cybersecurity
196,DataVision,UK,2022,Education
197,Green Energy Corp,Italy,2020,Technology
198,InnoSoft,UK,2010,Technology
199,DataVision,China,2016,Infrastructure
200,Quantum Analytics,South Korea,2017,Transport
201,Oceanic Research,Singapore,2016,Education
202,Skyline Tech,Canada,2019,Healthcare
203,HealthPlus,Australia,2012,Energy
204,Global Research Center,Australia,2013,Space Research
205,Green Energy Corp,UK,2023,Space Research
206,Future Systems,South Africa,2018,Biotechnology
207,Global Research Center,Australia,2018,Education
208,TechNova,UAE,2024,AI & ML
209,DataVision,Japan,2011,AI & ML
210,Global Research Center,UAE,2011,Environment
211,Skyline Tech,Malaysia,2019,Environment
212,HealthPlus,Thailand,2021,Transport
213,BioGen Labs,UAE,2017,Environment
214,Global Research Center,Netherlands,2012,Environment
215,Skyline Tech,Netherlands,2015,Energy
216,Green Energy Corp,South Africa,2022,AI & ML
217,BioGen Labs,Singapore,2017,Environment
218,Oceanic Research,Canada,2020,Cybersecurity
219,AeroTech,Singapore,2019,AI & ML
220,EduSmart,Malaysia,2025,Cybersecurity
221,InnoSoft,USA,2013,AI & ML
222,National Science Institute,Singapore,2024,Transport
223,EduSmart,Malaysia,2017,Energy
224,TechNova,UAE,2022,AI & ML
225,Oceanic Research,France,2022,Transport
226,Future Systems,South Africa,2019,Transport
227,TechNova,Netherlands,2021,Cybersecurity
228,InnoSoft,Netherlands,2024,Cybersecurity
229,HealthPlus,UK,2019,Agriculture
230,Oceanic Research,Canada,2020,Education
231,InnoSoft,Germany,2013,Energy
232,Global Research Center,South Africa,2010,Transport
233,National Science Institute,Germany,2016,Cybersecurity
234,National Science Institute,Canada,2023,Biotechnology
235,AgroFuture,France,2016,Biotechnology
236,InnoSoft,Italy,2012,Space Research
237,DataVision,Japan,2010,Agriculture
238,HealthPlus,UAE,2011,Agriculture
239,BioGen Labs,Germany,2011,Space Research
240,Global Research Center,China,2012,Healthcare
241,Quantum Analytics,India,2018,Environment
242,Green Energy Corp,Russia,2024,Environment
243,National Science Institute,Russia,2023,Space Research
244,AeroTech,USA,2022,AI & ML
245,National Science Institute,France,2010,AI & ML
246,National Science Institute,Malaysia,2012,Cybersecurity
247,Skyline Tech,Thailand,2011,Cybersecurity
248,DataVision,Germany,2021,Environment
249,Oceanic Research,Netherlands,2013,Healthcare
250,Future Systems,Brazil,2012,Biotechnology
251,Future Systems,South Korea,2022,Infrastructure
252,Green Energy Corp,USA,2025,Healthcare
253,Global Research Center,South Africa,2017,Infrastructure
254,Global Research Center,Russia,2019,Cybersecurity
255,National Science Institute,Japan,2019,AI & ML
256,National Science Institute,Singapore,2010,Infrastructure
257,InnoSoft,South Africa,2014,Energy
258,BioGen Labs,UK,2010,Biotechnology
259,Quantum Analytics,Malaysia,2022,Education
260,InnoSoft,South Africa,2012,Space Research
261,Future Systems,Canada,2021,Cybersecurity
262,EduSmart,Italy,2014,AI & ML
263,Global Research Center,Australia,2017,Environment
264,Quantum Analytics,China,2016,AI & ML
265,BioGen Labs,Australia,2011,Biotechnology
266,AgroFuture,South Africa,2024,Transport
267,National Science Institute,South Africa,2012,Space Research
